uf,cnae_fiscal_principal,atividade_economica,quantidade
AC,4721102,Padaria e confeitaria com predominância de revenda,5
AC,5611201,Restaurantes e similares,11
AC,5611203,"Lanchonetes, casas de chá, de sucos e similares",17
AC,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",7
AC,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",6
AC,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,10
AL,4721102,Padaria e confeitaria com predominância de revenda,14
AL,5611201,Restaurantes e similares,69
AL,5611203,"Lanchonetes, casas de chá, de sucos e similares",79
AL,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",7
AL,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",5
AL,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,34
AM,4721102,Padaria e confeitaria com predominância de revenda,20
AM,5611201,Restaurantes e similares,112
AM,5611203,"Lanchonetes, casas de chá, de sucos e similares",72
AM,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",3
AM,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",13
AM,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,48
AP,4721102,Padaria e confeitaria com predominância de revenda,3
AP,5611201,Restaurantes e similares,17
AP,5611203,"Lanchonetes, casas de chá, de sucos e similares",11
AP,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",2
AP,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",4
AP,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,10
BA,4721102,Padaria e confeitaria com predominância de revenda,114
BA,5611201,Restaurantes e similares,351
BA,5611203,"Lanchonetes, casas de chá, de sucos e similares",280
BA,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",62
BA,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",58
BA,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,265
CE,4721102,Padaria e confeitaria com predominância de revenda,31
CE,5611201,Restaurantes e similares,256
CE,5611203,"Lanchonetes, casas de chá, de sucos e similares",185
CE,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",34
CE,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",53
CE,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,131
DF,4721102,Padaria e confeitaria com predominância de revenda,22
DF,5611201,Restaurantes e similares,110
DF,5611203,"Lanchonetes, casas de chá, de sucos e similares",128
DF,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",17
