data_inicio_atividade,cidade,uf,quantidade
2025-03,SAO PAULO,SP,44
2025-01,RIO DE JANEIRO,RJ,34
2024-05,SAO PAULO,SP,34
2025-02,SAO PAULO,SP,32
2024-10,SAO PAULO,SP,31
2025-01,SAO PAULO,SP,30
2023-10,SAO PAULO,SP,30
2024-06,SAO PAULO,SP,29
2023-08,SAO PAULO,SP,25
2024-03,SAO PAULO,SP,25
2024-09,RIO DE JANEIRO,RJ,23
2023-06,SAO PAULO,SP,22
2023-11,SAO PAULO,SP,22
2022-05,SAO PAULO,SP,21
2023-05,SAO PAULO,SP,21
2024-10,RIO DE JANEIRO,RJ,20
2021-03,SAO PAULO,SP,20
2021-02,SAO PAULO,SP,20
2024-02,SAO PAULO,SP,20
2025-03,RIO DE JANEIRO,RJ,20
2024-08,SAO PAULO,SP,19
2024-07,SAO PAULO,SP,19
2024-04,SAO PAULO,SP,19
2021-01,SAO PAULO,SP,19
2023-09,RIO DE JANEIRO,RJ,19
2024-11,SAO PAULO,SP,19
2021-05,SAO PAULO,SP,18
2024-06,RIO DE JANEIRO,RJ,18
2023-04,SAO PAULO,SP,18
2020-03,SAO PAULO,SP,18
2025-02,RIO DE JANEIRO,RJ,18
2024-01,SAO PAULO,SP,18
2020-02,SAO PAULO,SP,17
2023-01,SAO PAULO,SP,17
2020-10,SAO PAULO,SP,17
2022-02,SAO PAULO,SP,17
2020-06,SAO PAULO,SP,17
2022-03,SAO PAULO,SP,16
2023-07,SAO PAULO,SP,16
2023-09,SAO PAULO,SP,16
2024-11,RIO DE JANEIRO,RJ,16
2024-09,SAO PAULO,SP,16
2024-12,SAO PAULO,SP,16
2023-03,RIO DE JANEIRO,RJ,16
2023-03,SAO PAULO,SP,16
2023-08,RIO DE JANEIRO,RJ,15
2021-08,SAO PAULO,SP,15
2020-07,SAO PAULO,SP,15
2022-09,SAO PAULO,SP,15
2023-05,RIO DE JANEIRO,RJ,15
2019-07,SAO PAULO,SP,14
2023-07,RIO DE JANEIRO,RJ,14
2023-02,SAO PAULO,SP,14
2024-03,RIO DE JANEIRO,RJ,14
2024-04,RIO DE JANEIRO,RJ,14
2019-09,SAO PAULO,SP,14
2023-04,RIO DE JANEIRO,RJ,14
2023-06,RIO DE JANEIRO,RJ,14
2022-08,SAO PAULO,SP,14
2024-01,RIO DE JANEIRO,RJ,13
2024-08,RIO DE JANEIRO,RJ,13
2021-10,SAO PAULO,SP,13
2025-03,BRASILIA,DF,13
2018-06,SAO PAULO,SP,13
2022-01,RIO DE JANEIRO,RJ,13
2020-09,SAO PAULO,SP,13
2024-02,RIO DE JANEIRO,RJ,13
2022-07,SAO PAULO,SP,13
2021-10,RIO DE JANEIRO,RJ,13
2021-06,SAO PAULO,SP,13
2022-06,SAO PAULO,SP,13
2018-10,SAO PAULO,SP,12
2019-08,SAO PAULO,SP,12
2020-08,SAO PAULO,SP,12
2019-05,SAO PAULO,SP,12
2023-10,RIO DE JANEIRO,RJ,12
2021-11,SAO PAULO,SP,12
2021-07,SAO PAULO,SP,12
2021-07,RIO DE JANEIRO,RJ,12
2021-05,RIO DE JANEIRO,RJ,11
2024-07,RIO DE JANEIRO,RJ,11
2019-12,SAO PAULO,SP,11
2022-05,RIO DE JANEIRO,RJ,11
