data_situacao_cadastral,motivo,uf,quantidade
1971-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1972-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1975-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1977-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1977-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1977-07,NAO INICIO DE ATIVIDADE,MG,1
1977-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1977-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1977-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1978-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1978-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1978-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1978-12,NAO INICIO DE ATIVIDADE,MG,1
1979-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1979-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1979-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1979-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1979-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1979-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1980-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1980-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1980-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1980-07,NAO INICIO DE ATIVIDADE,MG,1
1980-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1980-09,NAO INICIO DE ATIVIDADE,SP,1
1980-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1980-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1981-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1981-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1981-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1981-06,NAO INICIO DE ATIVIDADE,PR,1
1981-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MT,1
1981-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1981-09,NAO INICIO DE ATIVIDADE,MG,1
1981-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1982-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1982-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1982-03,NAO INICIO DE ATIVIDADE,SP,1
1982-05,NAO INICIO DE ATIVIDADE,MG,2
1982-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1982-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1982-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1982-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1982-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1982-10,NAO INICIO DE ATIVIDADE,PE,1
1982-10,NAO INICIO DE ATIVIDADE,RS,1
1983-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1983-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1983-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1983-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1983-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1983-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1983-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1983-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AM,1
1983-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1983-04,INCORPORACAO,RJ,1
1983-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1983-05,NAO INICIO DE ATIVIDADE,MG,1
1983-05,NAO INICIO DE ATIVIDADE,RJ,1
1983-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1983-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1983-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1983-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1983-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1983-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SE,1
1983-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1983-07,NAO INICIO DE ATIVIDADE,SP,1
1983-08,ENCERRAMENTO DA LIQUIDACAO,MS,1
1983-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,3
1983-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,2
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1983-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1983-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1983-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1983-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1983-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1983-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1983-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1983-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,3
1983-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1983-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MS,1
1983-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1984-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,3
