uf,cidade,ativas,inativas,taxa_mortalidade
AC,ACRELANDIA,2.0,2.0,0.5
AC,ASSIS BRASIL,2.0,0.0,0.0
AC,BRASILEIA,2.0,1.0,0.3333333333333333
AC,BUJARI,0.0,1.0,1.0
AC,CRUZEIRO DO SUL,7.0,7.0,0.5
AC,EPITACIOLANDIA,0.0,1.0,1.0
AC,FEIJO,1.0,2.0,0.6666666666666666
AC,JORDAO,0.0,1.0,1.0
AC,MANCIO LIMA,0.0,2.0,1.0
AC,PLACIDO DE CASTRO,0.0,1.0,1.0
AC,PORTO ACRE,1.0,2.0,0.6666666666666666
AC,PORTO WALTER,0.0,1.0,1.0
AC,RIO BRANCO,38.0,88.0,0.6984126984126984
AC,RODRIGUES ALVES,0.0,3.0,1.0
AC,SENA MADUREIRA,1.0,2.0,0.6666666666666666
AC,SENADOR GUIOMARD,0.0,2.0,1.0
AC,TARAUACA,2.0,3.0,0.6
AC,XAPURI,0.0,1.0,1.0
AL,AGUA BRANCA,1.0,2.0,0.6666666666666666
AL,ANADIA,0.0,1.0,1.0
AL,ARAPIRACA,16.0,29.0,0.6444444444444445
AL,ATALAIA,0.0,5.0,1.0
AL,BARRA DE SANTO ANTONIO,1.0,0.0,0.0
AL,BARRA DE SAO MIGUEL,3.0,5.0,0.625
AL,BATALHA,0.0,1.0,1.0
AL,BELO MONTE,0.0,1.0,1.0
AL,BOCA DA MATA,1.0,0.0,0.0
AL,BRANQUINHA,1.0,0.0,0.0
AL,CAJUEIRO,1.0,1.0,0.5
AL,CAMPO ALEGRE,3.0,4.0,0.5714285714285714
AL,CAMPO GRANDE,0.0,1.0,1.0
AL,CAPELA,1.0,3.0,0.75
AL,COLONIA LEOPOLDINA,2.0,1.0,0.3333333333333333
AL,COQUEIRO SECO,1.0,0.0,0.0
AL,CORURIPE,4.0,7.0,0.6363636363636364
AL,CRAIBAS,2.0,0.0,0.0
AL,DELMIRO GOUVEIA,8.0,7.0,0.4666666666666667
AL,DOIS RIACHOS,0.0,1.0,1.0
AL,FEIRA GRANDE,0.0,1.0,1.0
AL,FLEXEIRAS,0.0,1.0,1.0
AL,GIRAU DO PONCIANO,2.0,0.0,0.0
AL,IBATEGUARA,1.0,0.0,0.0
AL,JACUIPE,0.0,1.0,1.0
AL,JAPARATINGA,0.0,1.0,1.0
AL,JOAQUIM GOMES,1.0,2.0,0.6666666666666666
AL,LAGOA DA CANOA,0.0,1.0,1.0
AL,LIMOEIRO DE ANADIA,2.0,0.0,0.0
AL,MACEIO,96.0,265.0,0.7340720221606648
AL,MAJOR ISIDORO,1.0,1.0,0.5
AL,MARAGOGI,5.0,2.0,0.2857142857142857
AL,MARECHAL DEODORO,7.0,20.0,0.7407407407407407
AL,MARIBONDO,0.0,1.0,1.0
AL,MATA GRANDE,0.0,1.0,1.0
AL,MATRIZ DE CAMARAGIBE,0.0,2.0,1.0
AL,MESSIAS,1.0,2.0,0.6666666666666666
AL,MONTEIROPOLIS,1.0,0.0,0.0
AL,MURICI,1.0,4.0,0.8
AL,NOVO LINO,2.0,0.0,0.0
AL,OLHO D'AGUA DAS FLORES,1.0,3.0,0.75
AL,OLHO D'AGUA DO CASADO,2.0,0.0,0.0
AL,OURO BRANCO,0.0,1.0,1.0
AL,PALESTINA,0.0,1.0,1.0
AL,PALMEIRA DOS INDIOS,1.0,12.0,0.9230769230769231
AL,PAO DE ACUCAR,0.0,1.0,1.0
AL,PARIPUEIRA,0.0,3.0,1.0
AL,PASSO DE CAMARAGIBE,1.0,1.0,0.5
AL,PAULO JACINTO,0.0,1.0,1.0
AL,PENEDO,4.0,7.0,0.6363636363636364
AL,PIACABUCU,0.0,2.0,1.0
AL,PILAR,0.0,5.0,1.0
AL,PIRANHAS,1.0,0.0,0.0
AL,POCO DAS TRINCHEIRAS,0.0,2.0,1.0
AL,PORTO CALVO,0.0,3.0,1.0
AL,PORTO DE PEDRAS,1.0,1.0,0.5
AL,PORTO REAL DO COLEGIO,0.0,1.0,1.0
AL,RIO LARGO,9.0,17.0,0.6538461538461539
AL,ROTEIRO,1.0,1.0,0.5
AL,SANTA LUZIA DO NORTE,1.0,0.0,0.0
AL,SANTANA DO IPANEMA,1.0,6.0,0.8571428571428571
AL,SANTANA DO MUNDAU,1.0,0.0,0.0
AL,SAO BRAS,0.0,1.0,1.0
AL,SAO JOSE DA TAPERA,0.0,3.0,1.0
AL,SAO LUIS DO QUITUNDE,1.0,3.0,0.75
AL,SAO MIGUEL DOS CAMPOS,5.0,4.0,0.4444444444444444
AL,SAO MIGUEL DOS MILAGRES,1.0,1.0,0.5
AL,SAO SEBASTIAO,1.0,1.0,0.5
AL,SATUBA,4.0,3.0,0.42857142857142855
AL,SENADOR RUI PALMEIRA,2.0,2.0,0.5
AL,TAQUARANA,0.0,1.0,1.0
AL,TEOTONIO VILELA,2.0,2.0,0.5
AL,UNIAO DOS PALMARES,2.0,5.0,0.7142857142857143
AL,VICOSA,1.0,3.0,0.75
AM,AMATURA,0.0,1.0,1.0
AM,ANAMA,0.0,1.0,1.0
AM,ANORI,2.0,1.0,0.3333333333333333
AM,APUI,0.0,1.0,1.0
AM,ATALAIA DO NORTE,0.0,1.0,1.0
AM,AUTAZES,0.0,5.0,1.0
AM,BARCELOS,1.0,0.0,0.0
AM,BENJAMIN CONSTANT,0.0,2.0,1.0
AM,BERURI,2.0,0.0,0.0
AM,BOA VISTA DO RAMOS,2.0,0.0,0.0
AM,BOCA DO ACRE,0.0,4.0,1.0
AM,BORBA,1.0,1.0,0.5
AM,CAREIRO,1.0,3.0,0.75
AM,CAREIRO DA VARZEA,1.0,1.0,0.5
AM,COARI,1.0,5.0,0.8333333333333334
AM,CODAJAS,1.0,2.0,0.6666666666666666
AM,EIRUNEPE,0.0,1.0,1.0
AM,HUMAITA,4.0,11.0,0.7333333333333333
AM,IRANDUBA,2.0,3.0,0.6
AM,ITACOATIARA,5.0,5.0,0.5
AM,ITAPIRANGA,1.0,1.0,0.5
AM,JUTAI,1.0,1.0,0.5
AM,LABREA,1.0,0.0,0.0
AM,MANACAPURU,5.0,5.0,0.5
AM,MANAQUIRI,1.0,1.0,0.5
AM,MANAUS,211.0,407.0,0.6585760517799353
AM,MANICORE,2.0,4.0,0.6666666666666666
AM,MAUES,0.0,2.0,1.0
AM,NHAMUNDA,1.0,0.0,0.0
AM,NOVA OLINDA DO NORTE,0.0,1.0,1.0
AM,NOVO AIRAO,0.0,2.0,1.0
AM,NOVO ARIPUANA,0.0,2.0,1.0
AM,PARINTINS,6.0,9.0,0.6
AM,PRESIDENTE FIGUEIREDO,3.0,8.0,0.7272727272727273
AM,RIO PRETO DA EVA,0.0,4.0,1.0
AM,SANTA ISABEL DO RIO NEGRO,0.0,1.0,1.0
AM,SANTO ANTONIO DO ICA,0.0,1.0,1.0
AM,SAO GABRIEL DA CACHOEIRA,1.0,4.0,0.8
AM,SAO PAULO DE OLIVENCA,1.0,0.0,0.0
AM,SAO SEBASTIAO DO UATUMA,1.0,0.0,0.0
AM,TABATINGA,5.0,5.0,0.5
AM,TAPAUA,1.0,1.0,0.5
AM,TEFE,3.0,1.0,0.25
AM,UARINI,0.0,1.0,1.0
AM,URUCURITUBA,1.0,0.0,0.0
AP,AMAPA,0.0,1.0,1.0
AP,ITAUBAL,0.0,1.0,1.0
AP,LARANJAL DO JARI,2.0,2.0,0.5
AP,MACAPA,32.0,100.0,0.7575757575757576
AP,MAZAGAO,0.0,1.0,1.0
AP,OIAPOQUE,3.0,3.0,0.5
AP,PEDRA BRANCA DO AMAPARI,1.0,1.0,0.5
AP,PORTO GRANDE,2.0,1.0,0.3333333333333333
AP,SANTANA,6.0,11.0,0.6470588235294118
AP,SERRA DO NAVIO,0.0,1.0,1.0
AP,TARTARUGALZINHO,1.0,1.0,0.5
BA,ABARE,0.0,3.0,1.0
BA,ACAJUTIBA,0.0,2.0,1.0
BA,ADUSTINA,2.0,1.0,0.3333333333333333
BA,ALAGOINHAS,12.0,32.0,0.7272727272727273
BA,ALCOBACA,1.0,5.0,0.8333333333333334
BA,ALMADINA,1.0,0.0,0.0
BA,AMARGOSA,2.0,6.0,0.75
BA,AMELIA RODRIGUES,3.0,4.0,0.5714285714285714
BA,AMERICA DOURADA,0.0,1.0,1.0
BA,ANAGE,0.0,1.0,1.0
BA,ANDARAI,3.0,0.0,0.0
BA,ANGICAL,0.0,1.0,1.0
BA,ANTAS,0.0,1.0,1.0
BA,ANTONIO GONCALVES,1.0,1.0,0.5
BA,APORA,2.0,0.0,0.0
BA,APUAREMA,0.0,1.0,1.0
BA,ARACAS,0.0,3.0,1.0
BA,ARACATU,0.0,2.0,1.0
BA,ARACI,1.0,0.0,0.0
BA,ARAMARI,0.0,1.0,1.0
BA,ARATACA,0.0,1.0,1.0
BA,AURELINO LEAL,0.0,2.0,1.0
BA,BAIXA GRANDE,0.0,2.0,1.0
BA,BARRA,0.0,5.0,1.0
BA,BARRA DA ESTIVA,1.0,1.0,0.5
BA,BARRA DO CHOCA,0.0,1.0,1.0
BA,BARREIRAS,11.0,33.0,0.75
BA,BARRO PRETO,0.0,1.0,1.0
BA,BELMONTE,1.0,1.0,0.5
BA,BELO CAMPO,1.0,0.0,0.0
BA,BIRITINGA,1.0,1.0,0.5
BA,BOA VISTA DO TUPIM,3.0,0.0,0.0
BA,BOM JESUS DA LAPA,5.0,4.0,0.4444444444444444
BA,BONINAL,0.0,1.0,1.0
BA,BONITO,0.0,1.0,1.0
BA,BREJOLANDIA,0.0,1.0,1.0
BA,BRUMADO,4.0,6.0,0.6
BA,BUERAREMA,2.0,2.0,0.5
BA,BURITIRAMA,1.0,0.0,0.0
BA,CABACEIRAS DO PARAGUACU,0.0,1.0,1.0
BA,CACHOEIRA,1.0,3.0,0.75
BA,CACULE,2.0,2.0,0.5
BA,CAETITE,3.0,5.0,0.625
BA,CAFARNAUM,1.0,1.0,0.5
BA,CAIRU,7.0,12.0,0.631578947368421
BA,CAMACAN,0.0,2.0,1.0
BA,CAMACARI,27.0,65.0,0.7065217391304348
BA,CAMAMU,0.0,2.0,1.0
