data_inicio_atividade,uf,quantidade
2015-04-01,AL,1
2015-04-01,AM,1
2015-04-01,AP,2
2015-04-01,BA,7
2015-04-01,CE,4
2015-04-01,DF,4
2015-04-01,ES,3
2015-04-01,GO,4
2015-04-01,MA,1
2015-04-01,MG,10
2015-04-01,MS,2
2015-04-01,MT,3
2015-04-01,PA,5
2015-04-01,PB,1
2015-04-01,PE,2
2015-04-01,PR,4
2015-04-01,RJ,8
2015-04-01,RN,2
2015-04-01,RS,4
2015-04-01,SC,2
2015-04-01,SE,1
2015-04-01,SP,22
2015-04-01,TO,2
2015-05-01,AL,4
2015-05-01,AM,3
2015-05-01,BA,10
2015-05-01,CE,5
2015-05-01,DF,5
2015-05-01,ES,13
2015-05-01,GO,7
2015-05-01,MA,5
2015-05-01,MG,24
2015-05-01,MS,7
2015-05-01,MT,6
2015-05-01,PA,6
2015-05-01,PB,1
2015-05-01,PE,10
2015-05-01,PI,2
2015-05-01,PR,15
2015-05-01,RJ,23
2015-05-01,RN,1
2015-05-01,RO,1
2015-05-01,RS,13
2015-05-01,SC,9
2015-05-01,SP,60
2015-05-01,TO,2
2015-06-01,AC,1
2015-06-01,AL,1
2015-06-01,AM,3
2015-06-01,AP,1
2015-06-01,BA,17
2015-06-01,CE,4
2015-06-01,DF,4
2015-06-01,ES,8
2015-06-01,GO,8
2015-06-01,MA,1
2015-06-01,MG,22
2015-06-01,MS,4
2015-06-01,MT,4
2015-06-01,PA,5
2015-06-01,PB,1
2015-06-01,PE,8
2015-06-01,PI,3
2015-06-01,PR,15
2015-06-01,RJ,34
2015-06-01,RN,7
2015-06-01,RO,1
2015-06-01,RR,1
2015-06-01,RS,15
2015-06-01,SC,10
2015-06-01,SP,56
2015-06-01,TO,1
2015-07-01,AC,1
2015-07-01,AL,2
2015-07-01,AM,5
2015-07-01,BA,12
2015-07-01,CE,7
2015-07-01,DF,3
2015-07-01,ES,12
2015-07-01,GO,10
2015-07-01,MA,1
2015-07-01,MG,33
2015-07-01,MS,2
2015-07-01,MT,6
2015-07-01,PA,4
2015-07-01,PB,2
2015-07-01,PE,8
2015-07-01,PI,2
2015-07-01,PR,20
2015-07-01,RJ,40
2015-07-01,RN,3
2015-07-01,RO,3
2015-07-01,RR,1
2015-07-01,RS,20
2015-07-01,SC,13
2015-07-01,SE,1
2015-07-01,SP,70
2015-08-01,AM,3
2015-08-01,AP,1
2015-08-01,BA,14
2015-08-01,CE,5
2015-08-01,DF,3
2015-08-01,ES,5
2015-08-01,GO,10
2015-08-01,MA,1
2015-08-01,MG,27
2015-08-01,MS,6
2015-08-01,MT,7
2015-08-01,PA,2
2015-08-01,PB,7
2015-08-01,PE,11
2015-08-01,PI,2
2015-08-01,PR,17
2015-08-01,RJ,37
2015-08-01,RN,4
2015-08-01,RO,4
2015-08-01,RR,1
2015-08-01,RS,17
2015-08-01,SC,11
2015-08-01,SE,3
2015-08-01,SP,68
2015-08-01,TO,5
2015-09-01,AL,5
2015-09-01,AM,3
2015-09-01,BA,10
2015-09-01,CE,3
2015-09-01,DF,5
2015-09-01,ES,6
2015-09-01,GO,9
2015-09-01,MA,1
2015-09-01,MG,30
2015-09-01,MS,3
2015-09-01,MT,1
2015-09-01,PA,7
2015-09-01,PE,6
2015-09-01,PI,2
2015-09-01,PR,11
2015-09-01,RJ,40
2015-09-01,RN,2
2015-09-01,RO,3
2015-09-01,RR,1
2015-09-01,RS,12
2015-09-01,SC,10
2015-09-01,SE,1
2015-09-01,SP,53
2015-09-01,TO,1
2015-10-01,AC,1
2015-10-01,AM,1
2015-10-01,AP,1
2015-10-01,BA,6
2015-10-01,CE,7
2015-10-01,DF,7
2015-10-01,ES,13
2015-10-01,GO,6
2015-10-01,MA,3
2015-10-01,MG,22
2015-10-01,MS,3
2015-10-01,MT,4
2015-10-01,PA,3
2015-10-01,PB,2
2015-10-01,PE,1
2015-10-01,PI,1
2015-10-01,PR,19
2015-10-01,RJ,38
2015-10-01,RN,6
2015-10-01,RO,3
2015-10-01,RR,1
2015-10-01,RS,9
2015-10-01,SC,6
2015-10-01,SE,1
2015-10-01,SP,57
2015-10-01,TO,2
2015-11-01,AC,1
2015-11-01,AL,1
2015-11-01,AM,1
2015-11-01,BA,6
2015-11-01,CE,8
2015-11-01,DF,5
2015-11-01,ES,5
2015-11-01,GO,13
2015-11-01,MA,5
2015-11-01,MG,23
2015-11-01,MT,2
2015-11-01,PA,7
2015-11-01,PB,1
2015-11-01,PE,10
2015-11-01,PI,1
2015-11-01,PR,13
2015-11-01,RJ,30
2015-11-01,RN,3
2015-11-01,RO,2
2015-11-01,RS,20
2015-11-01,SC,10
2015-11-01,SE,1
2015-11-01,SP,70
2015-12-01,AL,5
2015-12-01,AM,1
2015-12-01,BA,6
2015-12-01,CE,6
2015-12-01,DF,4
2015-12-01,ES,6
2015-12-01,GO,6
2015-12-01,MA,1
2015-12-01,MG,23
2015-12-01,MS,3
2015-12-01,MT,1
2015-12-01,PA,7
2015-12-01,PB,4
2015-12-01,PE,5
2015-12-01,PI,1
2015-12-01,PR,5
2015-12-01,RJ,24
2015-12-01,RN,3
2015-12-01,RO,1
2015-12-01,RS,10
2015-12-01,SC,3
2015-12-01,SE,1
2015-12-01,SP,48
2015-12-01,TO,4
2016-01-01,AC,1
2016-01-01,AL,2
2016-01-01,AM,1
2016-01-01,BA,12
2016-01-01,CE,6
2016-01-01,DF,6
2016-01-01,ES,9
2016-01-01,GO,9
2016-01-01,MA,1
2016-01-01,MG,31
2016-01-01,MS,2
2016-01-01,MT,5
2016-01-01,PA,4
2016-01-01,PB,1
2016-01-01,PE,8
2016-01-01,PI,1
2016-01-01,PR,12
2016-01-01,RJ,41
2016-01-01,RN,4
2016-01-01,RO,2
2016-01-01,RS,17
2016-01-01,SC,7
2016-01-01,SP,63
2016-01-01,TO,2
2016-02-01,AL,1
2016-02-01,AM,1
2016-02-01,AP,1
2016-02-01,BA,7
2016-02-01,CE,6
2016-02-01,DF,6
2016-02-01,ES,11
2016-02-01,GO,10
2016-02-01,MA,4
2016-02-01,MG,25
2016-02-01,MS,2
2016-02-01,MT,2
2016-02-01,PA,5
2016-02-01,PB,3
2016-02-01,PE,7
2016-02-01,PI,2
2016-02-01,PR,12
2016-02-01,RJ,27
2016-02-01,RN,3
2016-02-01,RO,1
2016-02-01,RS,11
2016-02-01,SC,7
2016-02-01,SP,63
2016-02-01,TO,2
2016-03-01,AC,1
2016-03-01,AL,2
2016-03-01,AM,2
2016-03-01,AP,1
2016-03-01,BA,12
2016-03-01,CE,9
2016-03-01,DF,5
2016-03-01,ES,5
2016-03-01,GO,9
2016-03-01,MA,5
2016-03-01,MG,44
2016-03-01,MS,7
2016-03-01,MT,6
2016-03-01,PA,10
2016-03-01,PB,2
2016-03-01,PE,7
2016-03-01,PI,2
2016-03-01,PR,26
2016-03-01,RJ,39
2016-03-01,RN,2
2016-03-01,RO,2
2016-03-01,RR,1
2016-03-01,RS,16
2016-03-01,SC,14
2016-03-01,SP,78
2016-04-01,AC,1
2016-04-01,AL,5
2016-04-01,AM,4
2016-04-01,AP,1
2016-04-01,BA,8
2016-04-01,CE,8
2016-04-01,DF,4
2016-04-01,ES,4
2016-04-01,GO,6
2016-04-01,MA,1
2016-04-01,MG,28
2016-04-01,MS,3
2016-04-01,MT,6
2016-04-01,PA,3
2016-04-01,PB,1
2016-04-01,PE,10
2016-04-01,PI,2
2016-04-01,PR,17
2016-04-01,RJ,25
2016-04-01,RN,2
2016-04-01,RO,2
2016-04-01,RR,1
2016-04-01,RS,20
2016-04-01,SC,10
